Chr,tissue1,tissue2,clasif,dist1,dist2,trans all,nodes,links,CC_V_3,CC_V_4,CC_V_5,CC_V_6,CC_V_8,CC_V_+,CC_V_max,CC_V_aver,CC_E_3,CC_E_4,CC_E_5,CC_E_6,CC_E_8,CC_E_+,CC_E_max,CC_E_aver,BC_V_3,BC_V_4,BC_V_5,BC_V_6,BC_V_8,BC_V_+,BC_V_max,BC_V_aver,BC_E_3,BC_E_4,BC_E_5,BC_E_6,BC_E_8,BC_E_+,BC_E_max,BC_E_aver,SC_V_3,SC_V_4,SC_V_5,SC_V_6,SC_V_8,SC_V_+,SC_V_max,SC_V_aver,SC_E_3,SC_E_4,SC_E_5,SC_E_6,SC_E_8,SC_E_+,SC_E_max,SC_E_aver,CL_3,CL_4,CL_5,CL_6,CL_8,CL_+,CL_max,CL_aver,antiparalllelEdges,edgeTissues2,edgeTissues3,edgeTissues4,edgeTissues5,edgeTissues6,edgeTissues7,edgeTissues8,edgeTissues9,edgeTissues10,edgeTissues11,edgeTissues12,edgeTissues13,edgeTissues14,edgeTissues15,edgeTissues16
1,Mon,Mac0,CFU-GM,546,12,72592,0.662677,0.976372,0.0,0.001948,0.000917,0.00126,0.001948,0.013519,0.030247,0.00375,0.001833,0.001031,0.001031,0.001031,0.00126,0.013405,0.079283,0.005537,0.000687,0.002864,0.001375,0.00126,0.001719,0.009166,0.01478,0.001804,0.000687,0.002521,0.000344,0.00126,0.001375,0.010884,0.053046,0.003874,0.001031,0.000917,0.000458,0.000115,0.000344,0.000344,0.001146,0.000557,0.0,0.001031,0.0,0.000344,0.000573,0.00126,0.006645,0.001284,0.086501,0.017873,0.010311,0.000573,0.0,0.0,0.000687,0.000384,0.010884,0.031507,0.074013,0.127288,0.182626,0.245181,0.304071,0.354253,0.404664,0.46172,0.520839,0.595195,0.677571,0.784008,0.901786,0.976372
1,Mon,Mac1,CFU-GM,546,12,72592,0.647132,0.942562,0.0,0.002269,0.001475,0.001135,0.001021,0.014522,0.028817,0.003467,0.002269,0.001361,0.001135,0.000567,0.001021,0.014068,0.065916,0.005054,0.000454,0.00363,0.001475,0.001475,0.001929,0.008622,0.017358,0.001679,0.000454,0.003177,0.000454,0.001361,0.001361,0.010778,0.056045,0.003541,0.001475,0.000681,0.000794,0.000113,0.00034,0.00034,0.001135,0.000533,0.0,0.001475,0.0,0.00034,0.000454,0.001475,0.005559,0.001145,0.078396,0.020875,0.004084,0.000227,0.0,0.0,0.000681,0.000373,0.007942,0.027115,0.066937,0.116856,0.169725,0.229854,0.288963,0.33979,0.386986,0.443485,0.501686,0.571686,0.653939,0.757634,0.869498,0.942562
1,Mon,Mac2,CFU-GM,546,12,72592,0.642754,0.938585,0.0,0.002298,0.001203,0.000766,0.001094,0.013785,0.027789,0.003548,0.002188,0.001094,0.000985,0.000328,0.001094,0.013457,0.067503,0.005185,0.000219,0.003063,0.001532,0.001532,0.002298,0.007987,0.018161,0.001695,0.000219,0.002735,0.000328,0.001532,0.001313,0.010503,0.057875,0.003595,0.001203,0.000547,0.000547,0.000219,0.000547,0.000219,0.001094,0.000528,0.0,0.000985,0.000219,0.000328,0.000547,0.001203,0.006017,0.001185,0.072864,0.018052,0.00361,0.0,0.0,0.0,0.000547,0.000358,0.012691,0.034025,0.075271,0.127457,0.18019,0.240144,0.29966,0.350315,0.399,0.454249,0.513109,0.583019,0.660915,0.759708,0.869222,0.938585
1,Mon,Neu,CFU-GM,450,8,72592,0.568503,0.846099,0.0,0.002349,0.001436,0.000653,0.001436,0.009919,0.068126,0.004456,0.002349,0.001436,0.000653,0.000522,0.001044,0.009788,0.098535,0.006695,0.000914,0.001958,0.001044,0.001044,0.000914,0.006787,0.021404,0.002277,0.000914,0.001958,0.0,0.001044,0.000783,0.007961,0.070737,0.005103,0.001175,0.000522,0.000653,0.000261,0.000261,0.000522,0.001305,0.000663,0.000131,0.001044,0.0,0.000392,0.000522,0.001305,0.0077,0.001626,0.077132,0.019838,0.01031,0.000914,0.0,0.0,0.000783,0.000444,0.060818,0.091618,0.124115,0.167184,0.210774,0.259063,0.312964,0.361644,0.409542,0.461876,0.516168,0.569156,0.623709,0.688442,0.767792,0.846099
1,Mon,MK,CMP,546,12,72592,0.606216,0.864866,0.0,0.002894,0.000695,0.000926,0.001274,0.01482,0.023271,0.003246,0.002779,0.000579,0.00081,0.000926,0.00081,0.014704,0.052679,0.004652,0.001158,0.002547,0.001852,0.000926,0.0022,0.00822,0.012157,0.001627,0.001158,0.0022,0.000347,0.001621,0.001274,0.010304,0.045617,0.003365,0.001158,0.00081,0.000579,0.000347,0.000232,0.000347,0.001158,0.000556,0.0,0.001158,0.0,0.000232,0.00081,0.001274,0.006484,0.001259,0.068541,0.013315,0.003242,0.004052,0.0,0.0,0.000695,0.000389,0.005673,0.016788,0.034039,0.062636,0.106516,0.157922,0.212685,0.258881,0.303224,0.359377,0.424444,0.499005,0.57924,0.677652,0.79042,0.864866
1,Mon,EP,CFU-GM,546,12,72592,0.525207,0.715561,0.0,0.002939,0.002116,0.001058,0.001999,0.01505,0.015873,0.002522,0.002822,0.002234,0.000941,0.000941,0.001411,0.014814,0.036095,0.003468,0.000588,0.004585,0.000705,0.001293,0.001881,0.007172,0.008818,0.00141,0.000588,0.004233,0.000588,0.000353,0.001411,0.009053,0.029041,0.002811,0.001058,0.000588,0.000118,0.000235,0.00047,0.000353,0.001176,0.000602,0.0,0.001058,0.0,0.000235,0.000235,0.001293,0.004821,0.001357,0.047383,0.011522,0.000823,0.000118,0.0,0.0,0.000705,0.00038,0.004703,0.014697,0.030569,0.054907,0.087123,0.127451,0.170366,0.20846,0.245849,0.287118,0.33309,0.388468,0.451958,0.539551,0.644663,0.715561
1,Mon,Ery,CMP,546,12,72592,0.596856,0.885679,0.0,0.001281,0.00163,0.000815,0.001048,0.013271,0.027823,0.003696,0.001281,0.001397,0.001048,0.000582,0.000815,0.012922,0.064377,0.005504,0.000931,0.004074,0.000931,0.000698,0.001513,0.008265,0.013737,0.001773,0.000931,0.003492,0.000582,0.000931,0.000582,0.009895,0.048079,0.003772,0.001513,0.000815,0.000349,0.0,0.000349,0.000466,0.001164,0.000544,0.0,0.001281,0.000233,0.000466,0.000466,0.001048,0.006403,0.001242,0.071828,0.020489,0.008615,0.000815,0.0,0.0,0.000698,0.000395,0.008149,0.020955,0.040046,0.065425,0.100931,0.146915,0.201397,0.250058,0.298719,0.357974,0.427706,0.504656,0.590802,0.693014,0.809195,0.885679
1,Mon,FoeT,HSC,575,13,72592,0.556229,0.840214,0.0,0.001496,0.001036,0.000921,0.001727,0.008979,0.062392,0.004294,0.001381,0.001151,0.000691,0.001151,0.001036,0.008749,0.098307,0.00654,0.000576,0.002533,0.000806,0.000691,0.000806,0.007828,0.011742,0.002024,0.000576,0.002302,0.00023,0.000921,0.000576,0.008634,0.044319,0.004434,0.001151,0.000576,0.00046,0.000115,0.000691,0.000345,0.001727,0.000619,0.0,0.000921,0.000115,0.000345,0.00023,0.001727,0.006101,0.001464,0.075284,0.023253,0.003338,0.003684,0.0,0.0,0.000691,0.00039,0.009785,0.023023,0.040175,0.065615,0.091976,0.128006,0.170483,0.221364,0.284216,0.351097,0.420625,0.496485,0.570733,0.660752,0.767808,0.840214
1,Mon,nCD4,HSC,575,13,72592,0.552257,0.840666,0.0,0.00116,0.000422,0.00116,0.001581,0.009909,0.061983,0.003914,0.00116,0.000422,0.000843,0.000738,0.001054,0.010014,0.091814,0.005966,0.000632,0.001687,0.000738,0.000738,0.001581,0.006641,0.010436,0.002017,0.000632,0.001581,0.000105,0.000527,0.000949,0.008222,0.03078,0.004467,0.000843,0.000843,0.000632,0.000422,0.000316,0.000422,0.001581,0.000578,0.0,0.000843,0.0,0.000316,0.000632,0.001687,0.006114,0.001402,0.079797,0.023612,0.008328,0.003373,0.0,0.0,0.000632,0.000363,0.002741,0.007695,0.01655,0.032362,0.054709,0.086017,0.125441,0.182153,0.246982,0.320665,0.398671,0.481103,0.566382,0.66294,0.772464,0.840666
1,Mon,tCD4,HSC,575,13,72592,0.569952,0.853262,0.0,0.001888,0.001111,0.000333,0.001444,0.009662,0.064414,0.004204,0.001888,0.001,0.000333,0.000888,0.000777,0.009551,0.096288,0.006323,0.000444,0.001999,0.001111,0.001333,0.000777,0.007219,0.009773,0.002035,0.000444,0.001999,0.000111,0.001222,0.000888,0.008218,0.031096,0.004423,0.001222,0.000555,0.0,0.000444,0.000444,0.000222,0.002221,0.000585,0.0,0.000888,0.000333,0.000111,0.000444,0.001111,0.00633,0.001414,0.073299,0.01788,0.007441,0.000888,0.0,0.0,0.000666,0.000373,0.001999,0.007774,0.015881,0.029542,0.050643,0.078296,0.11539,0.167032,0.229114,0.299969,0.378931,0.463336,0.551405,0.659909,0.777853,0.853262
